Date,Price,Open,High,Low,Vol.,Change %
11/11/2024,224.23,225,225.7,221.5,42.01M,-1.20%
11/08/2024,226.96,227.17,228.66,226.4,38.33M,-0.23%
11/07/2024,227.48,224.63,227.88,224.57,42.14M,2.14%
11/06/2024,222.72,222.61,226.07,221.19,54.56M,-0.33%
11/05/2024,223.45,221.79,223.95,221.14,28.11M,0.65%
11/04/2024,222.01,220.99,222.79,219.71,44.94M,-0.40%
11/01/2024,222.91,220.96,225.35,220.27,65.28M,-1.33%
10/31/2024,225.91,229.34,229.83,225.37,64.37M,-1.82%
10/30/2024,230.1,232.61,233.47,229.55,47.07M,-1.53%
10/29/2024,233.67,233.1,234.32,232.32,35.42M,0.12%
10/28/2024,233.4,233.32,234.73,232.55,36.09M,0.86%
10/25/2024,231.41,229.74,233.22,229.57,38.80M,0.36%
10/24/2024,230.57,229.98,230.82,228.41,31.11M,-0.08%
10/23/2024,230.76,234.08,235.14,227.76,52.29M,-2.16%
10/22/2024,235.86,233.88,236.22,232.6,38.85M,-0.26%
10/21/2024,236.48,234.45,236.85,234.45,36.25M,0.63%
10/18/2024,235,236.18,236.18,234.01,46.43M,1.23%
10/17/2024,232.15,233.43,233.85,230.52,32.99M,0.16%
10/16/2024,231.78,231.6,232.12,229.84,34.08M,-0.89%
10/15/2024,233.85,233.61,237.49,232.37,64.75M,1.10%
10/14/2024,231.3,228.7,231.73,228.6,39.88M,1.65%
10/11/2024,227.55,229.3,229.41,227.34,31.76M,-0.65%
10/10/2024,229.04,227.78,229.5,227.17,28.18M,-0.22%
10/09/2024,229.54,225.23,229.75,224.83,33.59M,1.67%
10/08/2024,225.77,224.3,225.98,223.25,31.86M,1.84%
10/07/2024,221.69,224.5,225.69,221.33,39.51M,-2.25%
10/04/2024,226.8,227.9,228,224.13,37.35M,0.50%
10/03/2024,225.67,225.14,226.8,223.32,34.04M,-0.49%
10/02/2024,226.78,225.89,227.37,223.02,32.88M,0.25%
10/01/2024,226.21,229.52,229.65,223.74,63.29M,-2.91%
09/30/2024,233,230.04,233,229.65,54.79M,2.29%
09/27/2024,227.79,228.46,229.52,227.3,34.03M,0.12%
09/26/2024,227.52,227.3,228.5,225.41,36.64M,0.51%
09/25/2024,226.37,224.93,227.29,224.02,42.31M,-0.44%
09/24/2024,227.37,228.65,229.35,225.73,43.56M,0.40%
09/23/2024,226.47,227.34,229.45,225.81,54.15M,-0.76%
09/20/2024,228.2,229.97,233.09,227.62,318.68M,-0.29%
09/19/2024,228.87,224.99,229.82,224.63,66.78M,3.71%
09/18/2024,220.69,217.55,222.71,217.54,59.89M,1.80%
09/17/2024,216.79,215.75,216.9,214.5,45.52M,0.22%
09/16/2024,216.32,216.54,217.22,213.92,59.36M,-2.78%
09/13/2024,222.5,223.58,224.04,221.91,36.77M,-0.12%
09/12/2024,222.77,222.5,223.55,219.82,37.50M,0.05%
09/11/2024,222.66,221.46,223.09,217.89,44.59M,1.16%
09/10/2024,220.11,218.92,221.48,216.73,51.59M,-0.36%
09/09/2024,220.91,220.82,221.27,216.71,67.18M,0.04%
09/06/2024,220.82,223.95,225.24,219.77,48.42M,-0.70%
09/05/2024,222.38,221.63,225.48,221.52,36.62M,0.69%
09/04/2024,220.85,221.66,221.78,217.48,43.84M,-0.86%
09/03/2024,222.77,228.55,229,221.17,50.19M,-2.72%
08/30/2024,229,230.19,230.4,227.48,52.99M,-0.34%
08/29/2024,229.79,230.1,232.92,228.88,51.91M,1.46%
08/28/2024,226.49,227.92,229.86,225.68,38.05M,-0.68%
08/27/2024,228.03,225.99,228.85,224.89,35.93M,0.37%
08/26/2024,227.18,226.76,227.28,223.89,30.60M,0.15%
08/23/2024,226.84,225.66,228.22,224.33,38.68M,1.03%
08/22/2024,224.53,227.79,228.34,223.9,43.70M,-0.83%
08/21/2024,226.4,226.52,227.98,225.05,34.77M,-0.05%
08/20/2024,226.51,225.77,227.17,225.45,30.30M,0.27%
08/19/2024,225.89,225.72,225.99,223.04,40.69M,-0.07%
08/16/2024,226.05,223.92,226.83,223.65,44.34M,0.59%
08/15/2024,224.72,224.6,225.35,222.76,46.41M,1.35%
08/14/2024,221.72,220.57,223.03,219.7,41.96M,0.20%
08/13/2024,221.27,219.01,221.89,219.01,44.16M,1.72%
08/12/2024,217.53,216.07,219.51,215.6,38.03M,0.60%
08/09/2024,216.24,212.1,216.78,211.97,42.20M,1.37%
08/08/2024,213.31,213.11,214.2,208.83,47.16M,1.66%
08/07/2024,209.82,206.9,213.64,206.39,63.52M,1.25%
08/06/2024,207.23,205.3,209.99,201.07,69.66M,-0.97%
08/05/2024,209.27,199.09,213.5,196,119.55M,-4.82%
08/02/2024,219.86,219.15,225.6,217.71,105.57M,0.69%
08/01/2024,218.36,224.37,224.48,217.02,62.50M,-1.68%
